" Process
กระบวนการผลิต"	"Impact Category
ประเภทของผลกระทบที่เกิดขึ้น"	1 Hour	4 Hour	8 Hour	12 Hour	24 Hour	3 Days	14 Days	30 Days	Severity overtime scores	Maximum Tolerable Period of Disruption (MTPD)	"Recovery Time Objective
(RTO)"	Minimum Business Continuity Objective (MBCO)	"Posible Risk
ความเสี่ยงที่เป็นไปได้"	"Existing Control 
มาตรการควบคุมที่มีอยู่"	"Mitigation Plan
(new countermeasure to reduce threats)"	Possible Risk Scores	Existing Control Scores	Mitigation Scores	Prevention scores
การรับวัตถุดิบ (น้ำDemin)	การเงิน	1	1	1	1	2	2	3	4	50	24 Hours	1 Hours	1	"1.ถังกักเก็บน้ำชำรุดรั่วไหล
2.ท่อส่งเข้าระบบเสียหาย
3.อุปกรณ์ควบคุมใช้งานไม่ได้"	"1.1จัดหาแหล่งน้ำสำรองจากแหล่งอื่นๆ เช่น WHA 
1.2 จัดหาแหล่งน้ำสำรองจากแหล่งอื่นๆ เช่นเชื่อมระบบกับ Glow  & CUP3      2.1มีการตรวจสอบ รายวัน 
2.2มีทีมซ่อมบำรุง on call 24 hr
3.1มีการกำหนดแผนซ่อมบำรุงตามระยะเวลากำหนด
3.2มีสัญญาเข้าซ่อมบำรุงระบบ "		6	3	0	0.005
2.การรับวัตถุดิบ (น้ำ Clearify water)	การเงิน	1	1	1	1	2	2	2	2	46	24 Hours	1 Hours	1	"1.ถังกักเก็บน้ำชำรุดรั่วไหล
2.ท่อส่งเข้าระบบเสียหาย
3.อุปกรณ์ควบคุมใช้งานไม่ได้
"	"1.1จัดหาแหล่งน้ำxxx
2.1มีการตรวจสอบ รายวัน 
2.2มีทีมซ่อมบำรุง on call 24 hr
3.1มีการกำหนดแผนซ่อมบำรุงตามระยะเวลากำหนด
3.2มีสัญญาเข้าซ่อมบำรุงระบบ "	"1.ปรับลดปริมาณการใช้น้ำในกระบวนการผลิต
2.พิจารณาหาแหล่งน้ำสำรอง เช่น รถขนส่งน้ำจากภายนอก
3.หาแหล่งน้ำดิบเพิ่มอีกแหล่ง เช่น จากบริษัท EAST WATER    "	3	5	3	0.02666666666666667
3.การรับวัตถุดิบ (สารเคมี)	การเงิน	1	1	1	1	2	2	3	4	50	24 Hours	1 Hours	1	"1.ปริมาณสารเคมีไม่พอใช้งาน
 2.ถังกักเก็บสารเคมีชำรุดรั่วไหล"	"1.1มี On call ผู้จำหน่ายสารเคมี 
(12 ชม.)
1.2มีการควบคุมปริมาณขั้นต่ำ (Max-Min) สารเคมี
2.1มีกำหนดการตรวจสอบและซ่อมบำรุงถังxxxxx"	1.จัดหาให้มีระบบถังสารเคมีสำรองเพิ่มอีก 1 ถัง ในการใช้งาน	2	3	1	0.02
4.การรับวัตถุดิบ (ก๊าซเชื้อเพลิง)	การเงิน	1	1	1	1	2	3	4	4	55	48 Hours	1 Hours	1	"1.ไม่มีก๊าซหรือก๊าซไม่เพียงพอ
2.ท่อส่งเข้าระบบเสียหาย, อุปกรณ์ควบคุมใช้งานไม่ได้ 
3.ไฟไหม้"	"1.1มีการตรวจสอบ รายวัน 
1.2มีทีมซ่อมบำรุง on call 24 hr
2.1มีการกำหนดแผนซ่อมบำรุงตามระยะเวลากำหนด
2.2มีสัญญาเข้าซ่อมบำรุงระบบ    
3.1มีระบบดับเพลิงเครื่องจักร 2 ตัวเพื่อช่วยในการดับเพลิง"	"1.ทำระบบไฟฟ้าส่งจ่ายจาก GLOW,PEA มาจ่ายให้กับลูกค้าแทน    
2.ทำระบบท่อไอน้ำจาก GLOW มาจ่ายให้กับลูกค้า"	3	5	2	0.023333333333333334
5.การรับวัตถุดิบ (น้ำมันเชื้อเพลิงสำหรับระบบดับเพลิง)	การเงิน	1	1	1	1	1	1	1	1	36	48 Hours	1 Hours	1	"1.ปริมาณน้ำมันเชื้อเพลิงไม่พอใช้งาน
"	"1.มีระบบดับเพลิงเครื่องจักร 2 ตัวเพื่อช่วยในการดับเพลิง
2.มีการซ้อมแผนฉุกเฉินเป็นประจำทุกๆปี
3.มีการตรวจสอบอุปกรณ์เครื่องจักรตามแผนงานซ่อมบำรุงประจำปี"	"1.จัดหาให้มีระบบน้ำมันเชื้อเพลิงสำรองเพิ่ม ในการใช้งาน
2.ติดต่อหน่วยงานที่เกี่ยวข้องเพื่อจัดเตรียมรถดับเพลิงในกรณีฉุกเฉิน (NPCS&E)"	1	3	2	0.05
6.การรับวัตถุดิบ (ไฟฟ้าสำหรับ Start up process)	การเงิน	1	1	1	1	2	2	3	3	49	24 Hours	1 Hours	1	"1.การผลิตหยุดชะงักเนื่องจากไม่มีกระแสไฟฟ้า
2.ไม่สามารถ Start กระบวนการผลิตได้กรณีที่สายส่ง EGAT/ PEA ชำรุดส่งผลให้ Plant Blackout"	"1.1มีสัญญาการรับไฟฟ้าจากการไฟฟ้า
2.1จัดทำแผนซ่อมบำรุง อุปกรณ์ตามระยะเวลาที่กำหนด 
2.2มีทีม on call ซ่อมบำรุง  24 ชม.
"	"1.ศึกษาการจัดหาแหล่งไฟฟ้าสำรองในการ Start plant จากแหล่งอื่น เช่น Diesel GEN.
2.ศึกษาการเชื่อมต่อระบบกับ Glow ในการ Charge Back
"	2	3	2	0.025
7.เดินเครื่องระบบ BOP (Cooling, Air Compressor )	การเงิน	1	1	1	1	2	2	3	3	49	7 Days	7 Days	1	"1. การผลิตหยุดเนื่องจากไม่มีกระแสไฟฟ้า
2.การผลิตหยุดเนื่องจากไม่มีน้ำ
"	"1.1มีระบบ อัตโนมัติควบคุม 2 ตัวขึ้นไปในการใช้งานกระบวนการผลิต
1.2มีระบบ by pass
1.3มีระบบควบคุมอัตโนมัติ (Emergency) และระบบป้องกันอุปกรณ์(Protection)) เพื่อป้องกันเครื่องจักรเสียหาย 
1.4มีการติดตั้งอุปกรณ์สำรอง 
1.5มีแผนซ่อมบำรุงรักษาประจำปี/ ประจำเดือน
2.1มีการจด log sheet เพื่อประเมินค่าของอุปกรณ์ว่าผิดปกติหรือไม่และ Visual check ขณะทำการจด log sheet"	"1.สำรองติดตั้ง Mobile Air compressor ชั่วคราวโดยทำสัญญากับ Supplier
"	2	6	1	0.035
8.เดินเครื่องระบบ Fuel Gas	การเงิน	1	1	1	1	2	2	3	3	49	7 Days	7 Days	1	1.ไม่สามารถเดินเครื่องได้เนื่องจากไม่มีก๊าซทำให้ระบบเครื่องจักรการผลิตหยุดชะงัก	"1.1 มีแผนซ่อมบำรุงรักษาประจำปี/ ประจำเดือน
1.2 มีการติดตั้งอุปกรณ์สำรอง 
1.3 มีการจด log sheet เพื่อประเมินค่าของอุปกรณ์ว่าผิดปกติหรือไม่และ Visual check ขณะทำการจด log sheet"	"1.ให้มีทีมซ่อมบำรุง และชิ้นส่วนอะไหล่ ตลอด24 ชม. เพื่อไม่ต้องเสียเวลาในการรอคอย ในขณะที่ตาม oncall
"	1	3	1	0.04
9.เดินเครื่องระบบ Demin, Condensate และ Neutralization.	การเงิน	1	1	1	1	2	2	3	3	49	7 Days	7 Days	1	"1.ไม่สามารถผลิตน้ำ Demin  ได้เนื่องจากไม่มีกระแสไฟฟ้า
2.ปริมาณน้ำ Demin ไม่เพียงพอต่อการใช้งานในการบวนการผลิตและส่งให้ลูกค้าได้
"	"1.1มีการติดตั้งระบบสำรองในการผลิตนำ Demin 4 units, Condensate 2 units.
1.2ระบบ Pump Neutralization มี 2 unit สามารถได้สลับกันได้กรณีอีกตัวเสีย
2.1มีระบบนำ RO เพิ่มอีก 2 units ในกระบวนการผลิตเพื่อช่วยผลิตน้ำได้
2.2รับน้ำ Demin จาก WHA "	"1.พิจารณาหาแหล่งน้ำสำรอง เช่น รถขนส่ง
2.จัดหาแหล่งน้ำสำรองจากแหล่งอื่นๆ เช่น เชื่อมระบบกับ Glow & CUP3"	2	4	2	0.03
10.เดินเครื่องระบบ BFW และ Deaerator 	การเงิน	1	1	1	1	2	2	3	3	49	7 Days	7 Days	1	"1. ไม่สามารถเดินระบบได้เนื่องจากไม่มีกระแสไฟฟ้า
2.การผลิตหยุดเนื่องจากไม่มีน้ำ"	"1.1xxxxx
2.1xxxxx
"	"1.ให้มีทีมซ่อมบำรุง และชิ้นส่วนอะไหล่ ตลอด24 ชม. เพื่อไม่ต้องเสียเวลาในการรอคอย ในขณะที่ตาม oncall 
2.หาแหล่งน้ำอื่นๆเช่น BFW จาก CUP3 ส่งให้ลูกค้าแทนได้"	2	2	2	0.02
