การประเมินความเสี่ยงด้านความต่อเนื่องทางธุรกิจ	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21
																					
ผู้ประเมิน				ชื่อหน่วยงาน			วันที่ประเมิน														
วิธีการประเมิน				ชื่อพื้นที่ประเมิน			ทบทวนครั้งที่														
																					
No.	"Crisis Senario
ภาวะวิกฤต"		"Risk Category
ประเภทความเสี่ยง"	"Impact Type
ประเภทผลกระทบ"	"Posible Risk
ความเสี่ยงที่เป็นไปได้"	"Existing Control 
มาตรการควบคุมที่มีอยู่"	Risk Assessment							"Mitigation Plan
(new countermeasure to reduce threats)"	Time Frame		Responsible Person	Target			
							I	L	R	R	MTPD	RTO	MBCO		From	To		I	L	R	R
1	ไม่มีก๊าซธรรมชาติเนื่องจากแท่นขุดเจาะหยุดการผลิต (No fuel (Natural Gas)) และกรณีท่อก๊าซภายนอกชำรุดเนื่องจากเกิดอุบัติเหตุทางถนน             		Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ	"1. ไม่สามารถทราบปริมาณเชื้อเพลิง ที่จะนำมาผลิตกระแสไฟฟ้าได้
2. ไม่สามารถผลิตไฟฟ้า และไอน้ำส่งให้กับลูกค้าได้
3. สูญเสียรายได้"	"1. ติดตามสถานการณ์ คุณภาพและปริมาณ ก๊าซธรรมชาติ ผ่าน SMS
2. แจ้ง PTT เพื่อใช้มาตราการแผนสำรองปริมาณ LNG ที่ PTT. เตรียมการไว้
3. ติดต่อ PTT เพื่อให้ช่วยจัดส่งก๊าซธรรมชาติอย่างเร่งด่วน
4. ดำเนินการซ่อมโดยทีม PTT"	4	1	E4	E4	 	24 ชม	1	"1.ทำระบบไฟฟ้าส่งจ่ายจาก GLOW มาจ่ายให้กับลูกค้าแทน    
2.ทำระบบท่อไอน้ำจาก GLOW มาจ่ายให้กับลูกค้า"	Jan	Dec	Engineering	3	1	M11	M11
2	ไม่มีน้ำ  (No water) กรณีภัยแล้งและท่อน้ำภายนอกชำรุด             		Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ	"1. ไม่สามารถผลิตกระแสไฟฟ้าได้
2. ไม่สามารถผลิตน้ำอุตสาหกรรม ใช้ในกระบวนการผลิตไอน้ำ และไฟฟ้า และส่งให้กับลูกค้าได้
3. สูญเสียรายได้"	"1. มีการติดตามสถานการณ์น้ำอยู่เสมอ
2. ประเมินสถานการณ์น้ำ เพื่อกรณีสุดวิสัยจำเป็นต้อง Shutdown ระบบ 
3.มีถังเก็บกักน้ำสำรอง เพื่อเก็บไว้ใช้
4. แจ้งลูกค้าหากไม่สามารถจ่ายน้ำ เพื่อลดการใช้น้ำ
5.ต่อท่อระบบน้ำCUP1-CUP3--GLOW ให้เป็นระบบเครือข่าย"	4	1	E4	E4	24 ชม	24 ชม	1	"1.ปรับลดปริมาณการใช้น้ำในกระบวนการผลิต
2.พิจารณาหาแหล่งน้ำสำรอง เช่น รถขนส่งน้ำจากภายนอก
3.หาแหล่งน้ำดิบเพิ่มอีกแหล่ง เช่น จากบริษัท EAST WATER         
"	Jan	Dec	Operation	3	1	M11	M11
3	Emergency Cases ไฟใหม้ระบบการผลิต          		Operational Management	B - ประสิทธิผลของกระบวนการ	"1.ไม่สามารถผลิตกระแสไฟฟ้าส่งให้กับลูกค้าได้
2.ไม่สามารถผลิตไอน้ำ ส่งให้แก่ลูกค้าได้
3.ไม่สามารถผลิต น้ำอุตสาหกรรมเพื่อใช้เอง และส่งผ่านให้กับลูกค้าได้
4.สูญเสียรายได้"	"1.มีการจัดทีมซ้อมแผนฉุกเฉินประจำปี โดยเมื่อเกิดเหตุ มีการแจ้งโดยเสียงตามสาย ประเมินสถานการณ์และอพยพผู้ไม่เกี่ยวข้องไปยังจุดรวมพล
2. ตัดแยกระบบเพื่อไม่ให้เกิดการลุกลามและทำให้อุปกรณ์อื่นๆเสียหาย
3. มีการแจ้งเตือนชุมชมโดย CSR เมื่อมีควันจากไฟไหม้
4. มีทดสอบอุปกรณ์แจ้งเตือนเหตุเพลิงไหม้ และอุปกรณ์ดับเพลิงอย่างเป็นประจำ
5. มีการตรวจสอบความพร้อมและสภาพของเครื่องจักร โดยพนักงานเดินเครื่อง และพนักงานซ่อมบำรุงป็นประจำอย่างต่อเนื่อง
6.เพิ่มทักษะให้กับพนักงานโดยการส่งไปอบรมการดับเพลิง ภายนอก
7. รับไฟฟ้าจากEGAT
'8.มีระบบ PMC ควบคุมระบบจ่ายไฟ และระบบ Shedding ก็นีที่ไฟไม่พอ เพื่อให้ระบบเดินได้ต่อเนื่อง
9.ส่งทีม safety ไปอบรมดับเพลิงขั้นสูง"	4	1	E4	E4	24 ชม	24 ชม	1	"1.ทำสัญญา NPC S&E ในการจัดจ้าง รปภ. เป็น Fireman และรถดับเพลิงในกรณีฉุกเฉิน
2.มีผู้ชำนาญการเรื่องการดับเพลิง ประจำบริษัท เพื่อแนะนำและจัดฝึกอบรมภายใน"	Jan	Dec	SSHE	3	1	M11	M11
4	ระบบสายส่งชำรุด เกิดจากสายส่งขาด/ระเบิดเนื่องจากการลัดวงจร         		Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ	"1. ไม่สามารถส่งกระแสไฟฟ้าได้
2. สูญเสียรายได้"	"1.มีการตรวจสอบอุปกรณ์ป้องกัน โดยพนักงานเดินเครื่อง และสายส่งโดยทีมงานซ่อมบำรุง อย่างประจำ
2. มีแผนการซ่อมบำรุงรักษาระบบส่งจ่ายไฟฟ้ารายปี
3. มีแผนการตรวจสอบระบบส่งจ่ายไฟฟ้าตามระยะเวลาที่กำหนด
4.มีทีมปฏิบัติการในกรณีฉุกเฉิน (on-call) ตลอด 24 ชม. สำหรับงานซ่อมเร่งด่วน
5.จัดเตรียมสายไฟฟ้าสำรองไว้เปลี่ยนในกรณีเกิดเหตุฉุกเฉิน "	4	1	E4	E4	7 วัน	7 วัน	1	"1.ให้มีทีมซ่อมบำรุง และชิ้นส่วนอะไหล่ ตลอด24 ชม. เพื่อไม่ต้องเสียเวลาในการรอคอย ในขณะที่ตาม oncall 
2.ให้มีทีม ซ่อมสายส่ง ตลอด24ชม.
"	Jan	Dec	Maintenance	3	1	M11	M11
5	ระบบท่อส่งไอน้ำชำรุด เนื่องจากอุบัติเหตุทางถนนทำให้ท่อขาด		Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ	"1. ไม่สามารถส่งไอน้ำได้
2. ไม่สามารถส่งไอน้ำให้กับลูกค้าได้
3. กระบวนการผลิตและส่งไอน้ำเกิดการหยุดชะงักได้
4. สูญเสียรายได้"	"1.ติดตั้งอุปกรณ์ป้องกันความเสียหายที่มีโอกาสเกิดกับระบบเชื่อมต่อ เช่น Barrior กันรถชน
2. มีแผนการซ่อมบำรุงรักษาระบบส่งจ่ายไอน้ำรายปี
3. มีแผนการตรวจสอบระบบส่งจ่ายไอน้ำตามระยะเวลาที่กำหนด
4.มีทีมปฏิบัติการในกรณีฉุกเฉิน (on-call) ตลอด 24 ชม. สำหรับงานซ่อมเร่งด่วน
5.จัดเตรียม อะไหล่ที่ไว้ใช้ซ่อมท่อ ให้พร้อม พร้อมทีม ซ่อม online stop leak
6.มีการประสานกับ Supplier ให้พร้อมกับการซ่อมระบบท่อ ตลอด 24 ชั่วโมง"	4	1	E4	E4	4 วัน	3 วัน	1	"1.ให้มีทีมซ่อมบำรุงชำนาญเฉพาะทาง ประสานงานกับทาง Vender และมีการเตรียมชิ้นส่วนอะไหล่ ตลอด24 ชม. เพื่อใช้งานและไม่ต้องเสียเวลาในการรอคอย ในขณะที่ตาม oncall
2.ให้มีทีมซ่อมสายส่งของ Vender (Contactor)ตลอด24ชม."	Jan	Dec	Maintenance	3	1	M11	M11
