No.	"Product & Service
ผลิตภัณฑ์และบริการ "	"Process
กระบวนการผลิต"	"Risk Category
ประเภทความเสี่ยง"	"Impact Type
ประเภทผลกระทบ"	Sub-Dimension	"Posible Risk
ความเสี่ยงที่เป็นไปได้"	"Existing Control 
มาตรการควบคุมที่มีอยู่"	Risk Assessment	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	"Mitigation Plan
(new countermeasure to reduce threats)"	Time Frame	Unnamed: 17	Responsible Person	Target	Unnamed: 20	Unnamed: 21	Unnamed: 22
								I	L	R	R	MTPD	RTO	MBCO		From	To		I	L	R	R
1	1.การผลิตไฟฟ้า	การรับวัตถุดิบ (น้ำDemin)	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ	ประสิทธิผลของกระบวนการ	"1.ถังกักเก็บน้ำชำรุดรั่วไหล
"	"1.1จัดหาแหล่งน้ำสำรองจากแหล่งอื่นๆ เช่น WHA 
1.2 จัดหาแหล่งน้ำสำรองจากแหล่งอื่นๆ เช่นเชื่อมระบบกับ Glow  & CUP3
        "	4	1	E4	E4	24 ชม	1 ชม	1	-	-	-	-	4	1	E4	E4
					ประสิทธิผลของกระบวนการ	"2.ท่อส่งเข้าระบบเสียหาย

"	"2.1 มีการตรวจสอบ รายวัน 
2.2มีทีมซ่อมบำรุง on call 24 hr
      "	4	1	E4												
					ผลิตภัณฑ์หรือ บริการ	"3.อุปกรณ์ควบคุมใช้งานไม่ได้
"	"3.1มีการกำหนดแผนซ่อมบำรุงตามระยะเวลากำหนด
3.2มีสัญญาเข้าซ่อมบำรุงระบบ         "	3	1	M11												
2	1.การผลิตไฟฟ้า	การรับวัตถุดิบ (น้ำ Clearify water)	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1.ถังกักเก็บน้ำชำรุดรั่วไหล
2.ท่อส่งเข้าระบบเสียหาย
3.อุปกรณ์ควบคุมใช้งานไม่ได้
"	"1.1จัดหาแหล่งน้ำxxx
2.1มีการตรวจสอบ รายวัน 
2.2มีทีมซ่อมบำรุง on call 24 hr
3.1มีการกำหนดแผนซ่อมบำรุงตามระยะเวลากำหนด
3.2มีสัญญาเข้าซ่อมบำรุงระบบ "	4	1	E4	E4	24 ชม	1 ชม	1	"1.ปรับลดปริมาณการใช้น้ำในกระบวนการผลิต
2.พิจารณาหาแหล่งน้ำสำรอง เช่น รถขนส่งน้ำจากภายนอก
3.หาแหล่งน้ำดิบเพิ่มอีกแหล่ง เช่น จากบริษัท EAST WATER    "	Jan	Dec	Operation	3	1	M11	M11
3	1.การผลิตไฟฟ้า	การรับวัตถุดิบ (สารเคมี)	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1.ปริมาณสารเคมีไม่พอใช้งาน
 2.ถังกักเก็บสารเคมีชำรุดรั่วไหล"	"1.1มี On call ผู้จำหน่ายสารเคมี 
(12 ชม.)
1.2มีการควบคุมปริมาณขั้นต่ำ (Max-Min) สารเคมี
2.1มีกำหนดการตรวจสอบและซ่อมบำรุงถังxxxxx"	3	1	M11	M11	24 ชม	1 ชม	1	1.จัดหาให้มีระบบถังสารเคมีสำรองเพิ่มอีก 1 ถัง ในการใช้งาน	Jan	Dec	Operation	3	1	M11	M11
4	1.การผลิตไฟฟ้า	การรับวัตถุดิบ (ก๊าซเชื้อเพลิง)	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1.ไม่มีก๊าซหรือก๊าซไม่เพียงพอ
2.ท่อส่งเข้าระบบเสียหาย, อุปกรณ์ควบคุมใช้งานไม่ได้ 
3.ไฟไหม้"	"1.1มีการตรวจสอบ รายวัน 
1.2มีทีมซ่อมบำรุง on call 24 hr
2.1มีการกำหนดแผนซ่อมบำรุงตามระยะเวลากำหนด
2.2มีสัญญาเข้าซ่อมบำรุงระบบ    
3.1มีระบบดับเพลิงเครื่องจักร 2 ตัวเพื่อช่วยในการดับเพลิง"	4	1	E4	E4	48 ชม	1 ชม	1	"1.ทำระบบไฟฟ้าส่งจ่ายจาก GLOW,PEA มาจ่ายให้กับลูกค้าแทน    
2.ทำระบบท่อไอน้ำจาก GLOW มาจ่ายให้กับลูกค้า"	Jan	Dec	Operation	3	1	M11	M11
5	1.การผลิตไฟฟ้า	การรับวัตถุดิบ (น้ำมันเชื้อเพลิงสำหรับระบบดับเพลิง)	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1.ปริมาณน้ำมันเชื้อเพลิงไม่พอใช้งาน
"	"1.มีระบบดับเพลิงเครื่องจักร 2 ตัวเพื่อช่วยในการดับเพลิง
2.มีการซ้อมแผนฉุกเฉินเป็นประจำทุกๆปี
3.มีการตรวจสอบอุปกรณ์เครื่องจักรตามแผนงานซ่อมบำรุงประจำปี"	2	2	M12	M12	48 ชม	1 ชม	1	"1.จัดหาให้มีระบบน้ำมันเชื้อเพลิงสำรองเพิ่ม ในการใช้งาน
2.ติดต่อหน่วยงานที่เกี่ยวข้องเพื่อจัดเตรียมรถดับเพลิงในกรณีฉุกเฉิน (NPCS&E)"	Jan	Dec	SSHE	1	2	L15	L15
6	1.การผลิตไฟฟ้า	การรับวัตถุดิบ (ไฟฟ้าสำหรับ Start up process)	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1.การผลิตหยุดชะงักเนื่องจากไม่มีกระแสไฟฟ้า
2.ไม่สามารถ Start กระบวนการผลิตได้กรณีที่สายส่ง EGAT/ PEA ชำรุดส่งผลให้ Plant Blackout"	"1.1มีสัญญาการรับไฟฟ้าจากการไฟฟ้า
2.1จัดทำแผนซ่อมบำรุง อุปกรณ์ตามระยะเวลาที่กำหนด 
2.2มีทีม on call ซ่อมบำรุง  24 ชม.
"	3	1	M11	M11	24 ชม	1 ชม	1	"1.ศึกษาการจัดหาแหล่งไฟฟ้าสำรองในการ Start plant จากแหล่งอื่น เช่น Diesel GEN.
2.ศึกษาการเชื่อมต่อระบบกับ Glow ในการ Charge Back
"	Jan	Dec	Engineering	2	1	L14	L14
7	1.การผลิตไฟฟ้า	เดินเครื่องระบบ BOP (Cooling, Air Compressor )	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1. การผลิตหยุดเนื่องจากไม่มีกระแสไฟฟ้า
2.การผลิตหยุดเนื่องจากไม่มีน้ำ
"	"1.1มีระบบ อัตโนมัติควบคุม 2 ตัวขึ้นไปในการใช้งานกระบวนการผลิต
1.2มีระบบ by pass
1.3มีระบบควบคุมอัตโนมัติ (Emergency) และระบบป้องกันอุปกรณ์(Protection)) เพื่อป้องกันเครื่องจักรเสียหาย 
1.4มีการติดตั้งอุปกรณ์สำรอง 
1.5มีแผนซ่อมบำรุงรักษาประจำปี/ ประจำเดือน
2.1มีการจด log sheet เพื่อประเมินค่าของอุปกรณ์ว่าผิดปกติหรือไม่และ Visual check ขณะทำการจด log sheet"	3	1	M11	M11	7 วัน	7 วัน	1	"1.สำรองติดตั้ง Mobile Air compressor ชั่วคราวโดยทำสัญญากับ Supplier
"	Jan	Dec	Maintenance	1	1	L16	L16
8	1.การผลิตไฟฟ้า	เดินเครื่องระบบ Fuel Gas	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		1.ไม่สามารถเดินเครื่องได้เนื่องจากไม่มีก๊าซทำให้ระบบเครื่องจักรการผลิตหยุดชะงัก	"1.1 มีแผนซ่อมบำรุงรักษาประจำปี/ ประจำเดือน
1.2 มีการติดตั้งอุปกรณ์สำรอง 
1.3 มีการจด log sheet เพื่อประเมินค่าของอุปกรณ์ว่าผิดปกติหรือไม่และ Visual check ขณะทำการจด log sheet"	4	2	E3	E3	7 วัน	7 วัน	1	"1.ให้มีทีมซ่อมบำรุง และชิ้นส่วนอะไหล่ ตลอด24 ชม. เพื่อไม่ต้องเสียเวลาในการรอคอย ในขณะที่ตาม oncall
"	Jan	Dec	Maintenance	3	2	H7	H7
9	1.การผลิตไฟฟ้า	เดินเครื่องระบบ Demin, Condensate และ Neutralization.	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1.ไม่สามารถผลิตน้ำ Demin  ได้เนื่องจากไม่มีกระแสไฟฟ้า
2.ปริมาณน้ำ Demin ไม่เพียงพอต่อการใช้งานในการบวนการผลิตและส่งให้ลูกค้าได้
"	"1.1มีการติดตั้งระบบสำรองในการผลิตนำ Demin 4 units, Condensate 2 units.
1.2ระบบ Pump Neutralization มี 2 unit สามารถได้สลับกันได้กรณีอีกตัวเสีย
2.1มีระบบนำ RO เพิ่มอีก 2 units ในกระบวนการผลิตเพื่อช่วยผลิตน้ำได้
2.2รับน้ำ Demin จาก WHA "	3	1	M11	M11	7 วัน	7 วัน	1	"1.พิจารณาหาแหล่งน้ำสำรอง เช่น รถขนส่ง
2.จัดหาแหล่งน้ำสำรองจากแหล่งอื่นๆ เช่น เชื่อมระบบกับ Glow & CUP3"	Jan	Dec	Operation	2	1	L14	L14
10	1.การผลิตไฟฟ้า	เดินเครื่องระบบ BFW และ Deaerator 	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1. ไม่สามารถเดินระบบได้เนื่องจากไม่มีกระแสไฟฟ้า
2.การผลิตหยุดเนื่องจากไม่มีน้ำ"	"1.1xxxxx
2.1xxxxx
"	4	1	E4	E4	7 วัน	7 วัน	1	"1.ให้มีทีมซ่อมบำรุง และชิ้นส่วนอะไหล่ ตลอด24 ชม. เพื่อไม่ต้องเสียเวลาในการรอคอย ในขณะที่ตาม oncall 
2.หาแหล่งน้ำอื่นๆเช่น BFW จาก CUP3 ส่งให้ลูกค้าแทนได้"	Jan	Dec	Maintenance	3	1	M11	M11
11	2.การผลิตไอน้ำ	เดินเครื่อง Aux Boiler , HRSG และ Emission Control.	Operational Management	6.กระบวนการทางธุรกิจและการปฏิบัติการ		"1. การผลิตไอน้ำหยุดเนื่องจากไม่มีกระแสไฟฟ้า
2.การผลิตไอน้ำหยุดเนื่องจากไม่มีน้ำ
3.การผลิตไอน้ำหยุดเนื่องจากไม่มีเชื้อเพลิง
4.การผลิตไอน้ำหยุดเนื่องจากปริมาณสารเคมีไม่พอใช้งาน
5.ไม่สอดคล้องตามกฏหมาย ค่า Emission เกินมาตราฐาน เนื่องจากไม่มีสารเคมีใช้ในกระบวนการผลิต (No chemical)"	"1.1มีสัญญาการรับไฟฟ้าจากการไฟฟ้า
2.1xxxx
3.1xxxxx
4.1มี On call ผู้จำหน่ายสารเคมี 
(12 ชม.)
4.2มีการควบคุมปริมาณขั้นต่ำ (Max-Min) สารเคมี
5.1 มีระบบควบคุม Emission และระบบเตือนเมื่อค่าเกิดค่าที่ควบคุม"	3	2	H7	H7	7 วัน	7 วัน	1	"1.ให้มีทีมซ่อมบำรุง และชิ้นส่วนอะไหล่ ตลอด24 ชม. เพื่อไม่ต้องเสียเวลาในการรอคอย ในขณะที่ตาม oncall 
2.หาแหล่งไอน้ำอื่นๆ เช่น รับจาก CUP3,CUP4&GLOW ส่งให้ลูกค้าแทนได้"	Jan	Dec	Maintenance	2	2	M12	M12
