Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5
พื้นที่					
GPSC BKK : EnCo B - 5th floor					
GPSC BKK : EnCo B - 18th floor					
GPSC BKK : Empire Tower 					
GPSC CBI : GIPP					
GPSC CBI : IPP1					
GPSC RYG : Central Warehouse					
GPSC RYG : CUP-1					
GPSC RYG : CUP-2					
GPSC RYG : CUP-3					
GPSC RYG : CUP-4					
GPSC RYG : Energy Storage Factory					
GPSC RYG : GHECO-One					
GPSC RYG : Glow energy					
GPSC RYG : RDF					
GPSC RYG : SPP11					
GPSC RYG : SPP2/3					
					
					
BFS	โครงการแฟลซ				
ESS	ฝ่ายกลยุทธ์ซ่อมบำรุงโรงไฟฟ้า				
SCS	ฝ่ายกลยุทธ์องค์กรและบริหารความเสี่ยง				
FFS	ฝ่ายการเงินองค์กร				
CGS	ฝ่ายการพาณิชย์ กลุ่มลูกค้า GPSCและบริหารสัญญา				
HES	ฝ่ายความมั่นคงปลอดภัย อาชีวอนามัและสิ่งแวดล้อม				
PSS	ฝ่ายจัดซื้อ				
EMS	ฝ่ายซ่อมบำรุงโรงไฟฟ้า 				
IAS	ฝ่ายตรวจสอบภายในองค์กร				
BNS	ฝ่ายนวัฒกรรมและเทคโนโลยีพลังงาน				
STS	ฝ่ายบริหารการเปลี่ยนแปลงและความยั่งยืนองค์กร				
JCS	ฝ่ายบริหารโครงการก่อสร้าง				
FTS	ฝ่ายบริหารเงินทุนและการเงินองค์กร				
AFS	ฝ่ายบริหารทรัพยากรอาคาร				
SIS	ฝ่ายบริหารบริษัทในเครือและโครงการลงทุน				
RES	ฝ่ายบริหารศักยภาพองค์กร				
FAS	ฝ่ายบัญชีและภาษีองค์กร				
EZS	ฝ่ายประสิทธิภาพโรงงานและการผลิต				
BOS	ฝ่ายพัฒนาธุรกิจพื้นที่อื่นและพัฒนาโครงการลงทุน				
VRS	ฝ่ายรัฐกิจสัมพันธ์และกิจการสาธารณะ				
GNS	ฝ่ายเลขานุการบริษัทและกำกับกิจการองค์กร				
BTS	ฝ่ายวิเคราะห์โครงการลงทุน				
NGS	ฝ่ายวิศวกรรมและวิเคราะห์โครงการ				
FSS	ฝ่ายศูนย์บริการด้านการเงินและบัญชีองค์กร				
HHPC	โรงไฟฟ้าห้วยเฮาะ				
OC1M 	ส่วนปฏิบัติการผลิต  CUP1				
OC2M	ส่วนปฏิบัติการผลิต  CUP2				
OC3M	ส่วนปฏิบัติการผลิต  CUP3				
OC4M	ส่วนปฏิบัติการผลิต  CUP4				
OPM	ส่วนปฏิบัติการผลิต  SPP11				
OIM	ส่วนปฏิบัติการผลิต GIPP				
OSM	ส่วนปฏิบัติการผลิต SRC				
OGM	ส่วนโรงไฟฟ้า GHECO-One				
OPPM	ส่วนโรงไฟฟ้า Phase 2 Cogen 				
ORM	ส่วนโรงไฟฟ้าขยะ				
CPM	ส่วนวางแผนการพาณิชย์  				
LGS	สำนักกฎหมายองค์กร				
CMV	หน่วยการพาณิชย์ กลุ่มลูกค้าอุตสาหกรรม Glow				
ERV	หน่วยซ่อมบำรุงงโรงไฟฟ้าพื้นที่ระยอง  				
STV	หน่วยเทคโนโลยีสารสนเทศ 				
BIV	หน่วยพัฒนาธุรกิจต่างประเทศ 				
ORV	หน่วยโรงไฟฟ้า Phase 3 Gas/ Coal				
CRV	หน่วยลูกค้าสัมพันธ์ Glow				
					
					
	1	Financial			
	2	Strategy and Business Growth			
	3	Subsidiary Management			
	4	Operational Management			
	5	Quality, Safety, Health, and Environment			
	6	Human Resource and Organization Capability			
	7	Project Execution			
	8	Legal, Regulation and Compliance			
					
					
A. สูญเสียรายได้โดยตรง 		F - กำไรสุทธิต่ำกว่าเป้าหมาย			
B.ผลกระทบต่อลูกค้า 		F - กำไรขั้นต้นต่ำกว่าเป้าหมาย		Likelyhood Level	Impact Level
C.ผลกระทบต่อชีวิตและความปลอดภัย 		F - รายได้ต่ำกว่าเป้าหมาย		-	-
D.การหยุดชะงักของการปฏิบัติงาน/หน้าที่และงานประจำวัน		F - ค่าใช้จ่ายสูงกว่าเป้าหมาย		1	1
E.ผลกระทบต่อชื่อเสียง		F - ผลตอบแทนการลงทุนต่ำกว่าเป้าหมาย		2	2
F.ผลกระทบต่อสัญญา/ข้อตกลงระดับของการให้บริการ		F - ประมาณลงทุนสูงกว่าที่ได้รับอนุมัติ		3	3
G.ไม่สอดคล้องตามกฎหมายกำหนด		B - ประสิทธิผลของกระบวนการ		4	4
		B - ผลิตภัณฑ์หรือบริการ			
		B - การปฏิบัติตามกฎหมาย/กฎระเบียบ/ข้อบังคับ			
		B - ระยะเวลาดำเนินโครงการล่าช้า			
		B - การกำกับดูแลบริษัทในเครือ			
		I - ภาพลักษณ์ต่อสาธารณะ/สื่อ			
		I - ภาพลักษณ์ GPSC ต่อชุมชน			
		"I - สิ่งแวดล้อม

"			
		C - ปริมาณขายผลิตภัณฑ์/บริการของ GPSC			
		"C - ความพึงพอใจของลูกค้า/คู่ค้า
"			
		"P - ความปลอดภัยและสุขภาพ
"			
		"P - ความพึงพอใจของพนักงาน
"			
