Unnamed: 0	GPSC Risk Criteria	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
						(Version as of 7 Aug 2019)
	เกณฑ์การประเมินโอกาสเกิด (Likelihood) 		ระดับ			
			"ต่ำ
1"	"ปานกลาง
2"	"สูง
3"	"รุนแรง
4"
						
	โอกาสเกิด		< 10%	>10% ถึง < 20%	>20% ถึง < 50%	> 50%
			ไม่เคย/เคยเกิดขึ้น 1 ครั้งใน 5 ปี	เคยเกิดขึ้น 1 ครั้ง ใน 3 ปี	เคยเกิดขึ้น 1 ครั้ง ใน 1 ปี	เคยเกิดขึ้น > 1 ครั้ง ใน 1 ปี
						
	" เกณฑ์การประเมินผลกระทบ 
(Impact)"		ระดับ			
			"ต่ำ
1"	"ปานกลาง
2"	"สูง
3"	"รุนแรง
4"
	"ด้านการเงิน 
(Financial)"	กำไรสุทธิต่ำกว่าเป้าหมาย (Net Profit)	< 1.25%	> 1.25% ถึง < 2.5%	> 2.5% ถึง < 5%	> 5% 
		กำไรขั้นต้นต่ำกว่าเป้าหมาย (EBITDA)	< 1.25%	> 1.25% ถึง < 2.5%	> 2.5% ถึง < 5%	> 5% 
		รายได้ต่ำกว่าเป้าหมาย (Revenue)	< 1.25%	> 1.25% ถึง < 2.5%	> 2.5% ถึง < 5%	> 5%
		ค่าใช้จ่ายสูงกว่าเป้าหมาย (Expense)	< 1.25%	> 1.25% ถึง < 2.5%	> 2.5% ถึง < 5%	> 5%
		ผลตอบแทนการลงทุนต่ำกว่าเป้าหมาย (Project Return: Equity IRR)	 < 5 % จาก base case	 > 5 % ถึง < 10 % จาก base case	> 10% ถึง < 15% จาก base case	 >15 % จาก base case
		"งบประมาณลงทุนสูงกว่าที่ได้รับอนุมัติ
(Project Cost Overrun)"	< 1.25%จาก base case	> 1.25% ถึง < 2.5% จาก base case	> 2.5% ถึง < 5% จาก base case	> 5% จาก base case
	"ด้านกระบวนการธุรกิจ
และการปฏิบัติการ 
(Business Process and Operation )"	ประสิทธิผลของกระบวนการ	มีผลกระทบต่อกระบวนการผลิต/กระบวนการดำเนินงานเล็กน้อยโดยอยู่ในระดับที่สามารถควบคุมและแก้ไขได้ด้วยตนเอง	"มีผลกระทบต่อกระบวนการผลิต/กระบวนการดำเนินงาน โดยอยู่ในระดับที่สามารถควบคุมและแก้ไขได้โดยหน่วยงานที่เกี่ยวข้อง
"	มีผลกระทบต่อกระบวนการผลิต/กระบวนการดำเนินงาน โดยจำเป็นต้องหยุด/ชะลอการดำเนินงานหลักบางส่วนลง	มีผลกระทบต่อกระบวนการผลิต/กระบวนการดำเนินงานอย่างรุนแรง  โดยส่งผลกระทบต่อการส่งมอบผลิตภัณฑ์แก่ลูกค้า/การดำเนินงานและเป้าหมายตามแผนงาน
		ผลิตภัณฑ์หรือบริการ	เกิดความล่าช้าในการส่งมอบผลิตภัณฑ์/บริการ	เกิดความล่าช้าในการส่งมอบผลิตภัณฑ์/บริการ และไม่ได้คุณภาพตรงตามข้อกำหนด	ไม่สามารถผลิต/ส่งมอบผลิตภัณฑ์หรือบริการได้	ไม่สามารถผลิต/ส่งมอบผลิตภัณฑ์หรือบริการและบริษัทมีค่าใช้จ่ายส่วนเพิ่มหรือถูกเรียกร้องค่าเสียหาย
		การปฏิบัติตามกฎหมาย / กฎระเบียบ / ข้อบังคับ	ขัดต่อกฎระเบียบ/ข้อบังคับ/ข้อกำหนดตามมาตรฐานต่างๆ ของบริษัท	ขัดต่อกฎหมาย กฏระเบียบของหน่วยงานภายนอกที่กำกับดูแล ซึ่งกระทบต่อการดำเนินงานของบริษัท แต่สามารถดำเนินการแก้ไขได้ในทันที	ขัดต่อกฎหมาย/ข้อบังคับ กฏระเบียบของหน่วยงานภายนอกที่กำกับดูแล โดยได้รับบทลงโทษตามกฎหมาย หรือต้องแก้ไขตามคำสั่งของหน่วยงานภายนอกที่กำกับดูแล	ขัดต่อกฎหมาย กฏระเบียบของหน่วยงานภายนอกที่กำกับดูแล โดยถูกเพิกถอนใบอนุญาต หรือถูกปิดกิจการ
		ระยะเวลาการดำเนินโครงการล่าช้า (ตั้งแต่ BOD Approval ถึง COD)	" < 3% จากแผนงาน 
หรือ < 1 เดือน"	" 3% < X < 5% จากแผนงาน 
หรือ < 2 เดือน"	"5% < X < 10% จากแผนงาน 
หรือ < 3 เดือน"	ล่าช้าจากแผนงาน > 10% หรือ > 3 เดือน
		การกำกับดูแลบริษัทในเครือ 	การดำเนินงานเป็นไปตามนโยบาย/แนวทางของ GPSC และสามารถควบคุมได้	การดำเนินงานเป็นไปตามนโยบาย/แนวทางของ GPSC โดยไม่สามารถควบคุมได้	ไม่ดำเนินงานตามนโยบาย/แนวทางของ GPSC 	ไม่ดำเนินงานตามนโยบาย/แนวทางของ GPSC และส่งผลเสียหายต่อ GPSC
	"ชื่อเสียงองค์กร 
(Image and Reputation)  "	ภาพลักษณ์ GPSC ต่อสาธารณะ/สื่อ	-	ทำให้เกิดความไม่พอใจจากสาธารณะ เช่น การเขียนบทความวิจารณ์	ทำให้เกิดความไม่พอใจอย่างมากจากสาธารณะ เช่น การแสดงความเห็นคัดค้านผ่านสื่อต่างๆ	ทำให้เกิดการต่อต้านอย่างรุนแรงจากสาธารณะ เช่น การประท้วงจากชุมชน
